,item_id,user_id,age,gender,item_catalog,item_name,weekday,hour,minute,second
0,f8a458a3a4314b8284bf91c191610de8,00d481e75bed4c4aa2cdc0799711fe68,3,男,6.0,民生云快贷,5,18,50,54
1,f8a458a3a4314b8284bf91c191610de8,017a5094fe544967ad557489a3c97189,6,unk,6.0,民生云快贷,5,18,50,54
2,f8a458a3a4314b8284bf91c191610de8,714a4f3891024e1daf6753e01a14cbb8,4,男,6.0,民生云快贷,5,18,50,54
3,f8a458a3a4314b8284bf91c191610de8,8fd1e9489a4249e28d9e7c39a7a56ee6,6,男,6.0,民生云快贷,5,18,50,54
4,c789941d88c84c6193be364ce18995f5,00d481e75bed4c4aa2cdc0799711fe68,3,男,1.0,苏宁银行-微商贷,5,18,50,54
5,c789941d88c84c6193be364ce18995f5,017a5094fe544967ad557489a3c97189,6,unk,1.0,苏宁银行-微商贷,5,18,50,54
6,c789941d88c84c6193be364ce18995f5,714a4f3891024e1daf6753e01a14cbb8,4,男,1.0,苏宁银行-微商贷,5,18,50,54
7,c789941d88c84c6193be364ce18995f5,8fd1e9489a4249e28d9e7c39a7a56ee6,6,男,1.0,苏宁银行-微商贷,5,18,50,54
8,1eb4ae2d201d470ebd43ef85d9f1e48d,00d481e75bed4c4aa2cdc0799711fe68,3,男,6.0,兴享（尊享版）,5,18,50,54
9,1eb4ae2d201d470ebd43ef85d9f1e48d,017a5094fe544967ad557489a3c97189,6,unk,6.0,兴享（尊享版）,5,18,50,54
10,1eb4ae2d201d470ebd43ef85d9f1e48d,714a4f3891024e1daf6753e01a14cbb8,4,男,6.0,兴享（尊享版）,5,18,50,54
11,1eb4ae2d201d470ebd43ef85d9f1e48d,8fd1e9489a4249e28d9e7c39a7a56ee6,6,男,6.0,兴享（尊享版）,5,18,50,54
12,243fa91cc52747a7a59867b6087c08c8,00d481e75bed4c4aa2cdc0799711fe68,3,男,6.0,兴享贷A,5,18,50,54
13,243fa91cc52747a7a59867b6087c08c8,017a5094fe544967ad557489a3c97189,6,unk,6.0,兴享贷A,5,18,50,54
14,243fa91cc52747a7a59867b6087c08c8,714a4f3891024e1daf6753e01a14cbb8,4,男,6.0,兴享贷A,5,18,50,54
15,243fa91cc52747a7a59867b6087c08c8,8fd1e9489a4249e28d9e7c39a7a56ee6,6,男,6.0,兴享贷A,5,18,50,54
16,0441fd9de87247b792b5048b8feeaa74,00d481e75bed4c4aa2cdc0799711fe68,3,男,8.0,中信银行-信秒贷,5,18,50,54
17,0441fd9de87247b792b5048b8feeaa74,017a5094fe544967ad557489a3c97189,6,unk,8.0,中信银行-信秒贷,5,18,50,54
18,0441fd9de87247b792b5048b8feeaa74,714a4f3891024e1daf6753e01a14cbb8,4,男,8.0,中信银行-信秒贷,5,18,50,54
19,0441fd9de87247b792b5048b8feeaa74,8fd1e9489a4249e28d9e7c39a7a56ee6,6,男,8.0,中信银行-信秒贷,5,18,50,54
20,53638271958741b4bd3377a35ef02646,00d481e75bed4c4aa2cdc0799711fe68,3,男,8.0,中国银行-中银E贷,5,18,50,54
21,53638271958741b4bd3377a35ef02646,017a5094fe544967ad557489a3c97189,6,unk,8.0,中国银行-中银E贷,5,18,50,54
22,53638271958741b4bd3377a35ef02646,714a4f3891024e1daf6753e01a14cbb8,4,男,8.0,中国银行-中银E贷,5,18,50,54
23,53638271958741b4bd3377a35ef02646,8fd1e9489a4249e28d9e7c39a7a56ee6,6,男,8.0,中国银行-中银E贷,5,18,50,54
24,53b8d18125ff4b6884c32fe365670d3a,00d481e75bed4c4aa2cdc0799711fe68,3,男,8.0,江苏银行-金E贷,5,18,50,54
